126,126,58,58,82,82,60,16,1,16,1,59,34,59,1,59,60,6,59,15,58,58,58,126,126
126,82,82,15,59,6,1,60,6,60,59,16,34,60,60,60,1,59,60,1,60,15,15,15,126
32,15,16,16,59,60,59,16,16,16,1,6,35,16,6,59,6,6,6,1,1,6,1,15,82
58,32,6,1,60,1,60,59,84,16,16,16,34,59,6,59,84,59,60,1,1,16,16,32,82
32,1,60,60,1,1,1,59,84,1,59,6,34,59,59,60,84,60,6,59,59,59,6,60,15
82,16,6,60,6,164,59,60,16,59,16,59,34,59,59,6,1,16,6,164,6,16,16,6,32
60,16,6,6,60,16,1,16,84,59,6,16,34,16,60,16,84,1,60,1,6,6,60,16,60
59,60,16,6,6,60,1,59,84,16,60,6,34,60,59,60,84,60,6,16,1,60,1,16,16
6,16,59,85,85,60,85,85,117,60,59,60,34,60,59,60,117,85,85,1,85,85,1,59,16
60,16,6,59,6,16,60,59,1,59,32,15,35,82,32,59,1,16,6,16,1,60,6,59,60
16,16,6,1,59,60,60,16,1,15,15,15,34,32,15,15,16,16,6,60,60,60,6,59,1
59,6,16,59,59,1,60,6,60,32,15,126,34,126,15,15,6,1,60,60,16,6,6,6,59
1001,1001,1000,1001,1001,1001,1001,1001,1000,1001,1001,1001,252,1001,1001,1000,1001,1001,1001,1001,1001,1001,1000,1001,1001
60,6,1,6,16,6,59,59,59,82,58,126,34,126,32,32,59,16,16,59,1,16,1,59,59
1,1,60,16,1,1,16,6,16,15,32,58,34,32,58,82,1,6,16,6,16,6,60,1,60
60,1,16,6,1,59,1,60,1,60,32,82,35,15,32,1,16,60,60,60,60,60,60,1,1
6,59,60,85,85,16,85,85,117,59,6,60,34,16,59,59,117,85,85,60,85,85,1,6,16
60,6,1,6,1,6,1,60,84,59,59,16,34,59,1,6,84,60,60,60,16,59,60,59,6
1,6,6,60,60,59,59,59,84,16,60,16,34,1,16,60,84,6,6,6,59,1,6,6,59
32,6,59,16,1,164,59,1,59,60,59,1,34,1,16,16,59,59,6,164,6,1,59,16,82
58,6,16,16,60,1,60,60,84,59,1,60,34,1,16,16,84,59,1,59,1,59,6,6,58
58,58,59,1,59,6,6,16,84,1,59,60,34,59,59,1,84,16,16,16,1,16,6,82,15
15,32,60,1,59,1,59,6,16,59,59,1,35,16,16,60,16,60,16,6,6,1,6,32,58
126,58,58,15,6,1,59,16,1,16,59,6,34,60,60,6,6,60,16,59,60,82,32,32,126
126,126,58,15,58,58,59,59,60,60,16,59,34,16,1,16,1,6,60,32,58,82,32,126,126
