14,14,14,14,14,14,46,23,26,23,25,26,34,26,18,18,18,26,25,4,6,6,6,6,4
14,14,14,0,20,46,21,20,23,23,20,20,34,18,22,18,19,25,25,5,1,18,20,2,5
14,14,21,18,22,0,0,0,26,21,18,19,16,21,19,20,20,26,23,5,21,20,22,18,5
14,0,0,0,0,0,0,21,22,19,19,21,33,21,20,22,21,18,24,5,22,18,20,21,5
14,0,0,0,0,0,0,18,21,11,12,20,33,20,11,12,20,21,22,21,22,20,22,1,5
14,46,0,0,0,0,22,18,21,18,18,18,33,18,18,21,24,19,22,20,19,6,6,6,4
46,21,19,20,0,20,23,23,20,22,21,22,34,21,18,22,21,21,19,22,22,24,26,26,23
24,22,22,22,20,20,18,26,22,19,20,20,34,21,22,22,18,21,19,19,21,19,25,23,25
23,22,18,23,21,18,20,18,19,20,20,18,34,18,19,19,23,25,25,22,18,19,21,18,21
23,21,20,18,11,20,25,22,18,0,20,23,16,25,18,18,21,26,24,21,11,18,22,22,20
26,19,18,22,11,21,19,18,21,19,23,26,33,24,24,22,20,21,20,20,11,20,18,20,18
24,18,21,21,20,21,21,20,20,24,23,24,33,24,26,25,18,20,24,22,21,21,22,25,21
39,39,17,38,39,38,38,39,38,17,38,39,37,38,39,17,39,39,38,38,38,39,17,39,38
20,24,18,21,18,18,26,18,21,25,23,26,34,23,26,23,21,21,19,21,21,18,19,18,25
20,19,21,20,11,21,22,20,21,18,24,23,34,23,25,21,21,21,18,18,11,20,21,18,25
18,20,18,18,11,21,26,23,22,18,21,25,16,25,20,0,19,20,23,19,11,18,21,18,24
18,20,22,21,21,19,24,25,25,22,18,18,34,18,21,22,21,22,20,20,22,26,22,21,26
23,26,24,20,22,18,18,18,18,22,22,22,34,19,18,20,19,23,18,21,19,20,18,20,23
26,24,25,24,19,20,19,18,20,22,22,22,34,22,18,18,20,25,25,20,18,20,22,21,42
4,6,6,6,19,18,20,22,26,20,19,18,34,18,22,20,20,19,20,22,19,21,18,42,14
5,1,21,19,21,18,22,22,19,11,12,19,33,22,11,12,21,21,24,21,22,18,18,20,14
5,19,21,22,20,5,25,22,21,18,22,19,34,18,22,20,22,18,19,20,19,18,21,0,14
5,18,21,22,21,5,23,23,22,18,18,18,16,18,21,20,23,21,21,18,20,18,22,14,14
5,2,21,22,1,5,26,26,20,18,21,19,34,22,22,25,26,20,22,42,20,0,14,14,14
4,6,6,6,6,4,26,26,22,18,19,26,34,26,25,23,24,23,42,14,14,14,14,14,14
